"Qualification","Quali"
"MBBS, MD - General Medicine, DNB - General Medicine, MRCP (UK), Certification in Infectious Diseases, FRCP, Diploma in Tropical Medicine Health",4
"MBBS, MS - Otorhinolaryngology, Fellowship in Skull Base Surgery",4
"MD - Physician",4
"BAMS, Diploma in Health Administration",3
"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",4
"BAMS",3
"MBBS, DDV, MD - Dermatology",4
"MBBS, MD - General Medicine, DNB - General Medicine",4
"MBBS, MD - General Medicine, DNB - Dermatology & Venereology",4
"BAMS, MD - Ayurveda Medicine",4
"BAMS",3
"BDS",3
"BDS, Fellow of Academy of General Education (FAGE)",3
"MBBS",3
"MBBS, MD - Dermatology",4
"BAMS",3
"BDS, MDS - Pedodontics",4
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"MBBS, MD - General Medicine",4
"MBBS",3
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics, TFO (USA)",4
"BHMS",3
"BHMS",3
"MBBS",3
"BDS, Fellowship in Cosmetology",3
"MBBS, MS - ENT",4
"MBBS, MD - Dermatology",4
"MBBS, MD - General Medicine",4
"MBBS, MD - General Medicine, PG in Diabetology (USA), Fellowship in Diabetology",4
"MBBS, MD - General Medicine",4
"BAMS",3
"BDS, MDS - Orthodontics and Orofacial Orthopaedics, Certification in Laser Dentistry, FICD",4
"MBBS",3
"MBBS, M.Med in Family Medicine",4
"BHMS",3
"BAMS",3
"BHMS, DIACH(Greece), Certificate Course in Advanced Homoeopathy (C.C.A.H)",3
"MBBS",3
"MS - ENT, MBBS",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"BAMS, Certificate in Child Health (CCH), CGO",3
"MBBS",3
"BDS",3
"MBBS, DDV",3
"BAMS, MD - Ayurveda Medicine",4
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",4
"BHMS, MD - Homeopathy, Diploma in Hospital Administration",4
"BHMS",3
"MBBS",3
"MBBS, MD - General Medicine, DNB - General Medicine, FCCM, FCCP - Pulmonary Medicine",4
"BDS",3
"BHMS, MD - Homeopathy",4
"BAMS",3
"BHMS",3
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS, DNB - ENT",3
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",4
"MD - Dermatology, DNB - Dermatology & Venereology, MBBS",4
"MBBS, Diploma of the Faculty of Family Planning (DFFP), Diploma in Family Medicine (DFM), Diploma in Sports Therapy, MBA",4
"MBBS, DDV, DNB - Dermatology & Venereology, MD - Dermatology",4
"MBBS, DDVL",3
"BDS, Post graduate diploma in Hospital Management",4
"BAMS",3
"MBBS, MD - Dermatology",4
"BAMS, MD - Ayurveda Medicine",4
"MBBS",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BDS",3
"BHMS",3
"MBBS, MS - ENT",4
"MBBS, MD - Dermatology , Venereology & Leprosy, DVD",4
"DNB, MS - ENT",4
"BDS, MDS - Paedodontics And Preventive Dentistry, Certification for Professional Chemical Peel Workshop",4
"BDS",3
"BAMS",3
"MBBS, MD - Dermatology",4
"BDS",3
"BDS",3
"BAMS",3
"BAMS",3
"MD - Dermatology , Venereology & Leprosy, MBBS, MD - Dermatology, Certificate in Aesthetic Medicine",4
"MBBS, MD - Dermatology, Diploma in Venereology",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MBBS, DDVL",3
"BUMS, MD - Ayurveda Medicine",4
"MBBS",3
"MBBS, MD - Medicine",4
"BHMS, MS - Counselling & Psychotherapy",4
"MBBS, MD - Medicine, Post Graduate Diploma in Diabetology (PGDD)",4
"BAMS",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BDS",3
"MD - Ayurveda Medicine, BAMS",4
"MBBS, DDV",3
"MBBS, Masters in Clinical Dermatology",4
"MBBS",3
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)",4
"MBBS, MD - Dermatology",4
"MBBS, MD - Medicine, PGCC - Rheumatology, Post Graduate Course in Diabetology",4
"MBBS, MD - Opthalmology",4
"BAMS",3
"BHMS",3
"BAMS",3
"BAMS, MD - Kayachikitsalaya",4
"BHMS",3
"MBBS",3
"BDS",3
"BDS, MDS - Periodontics, MS - Implantolgy, Implantology ICOI(USA)",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"MBBS, MD - Skin,VD & Leprosy",4
"BHMS",3
"BAMS, MD - Ayurveda Medicine",4
"MBBS, MRCP (UK)",4
"BAMS",3
"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",4
"MBBS, MS - Otorhinolaryngology, Diploma in Otorhinolaryngology (DLO)",4
"MBBS, DNB - Otorhinolaryngology",3
"BDS, MDS - Conservative Dentistry & Endodontics",4
"BHMS",3
"BAMS",3
"BDS",3
"BDS, MDS - Orthodontics",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"BHMS",3
"DM - Cardiology, MBBS",3
"BHMS, Diploma in Diet and Nutrition",3
"MBBS, MD - Dermatology",4
"MBBS, Post Graduate Course in Diabetology, PGDHA, Certificate Course in Tuberculosis & Chest Diseases, Advanced Training Program in Diabetes Care, PhD in Liberal Studies in Diabetology (Trinity College)",5
"BAMS, MD - Ayurveda Medicine",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MBBS, MS - ENT",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BHMS",3
"MBBS, DNB - Family Medicine, CCEDM, CCMTD, CCDR",3
"MBBS, DDV",3
"MBBS",3
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MD - Dermatology , Venereology & Leprosy",4
"MBBS, Diploma in Dermatology",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",4
"LCEH",0
"MBBS, Diploma in Dermatology",3
"MBBS, DNB - ENT",3
"BAMS, MD - Ayurveda Medicine",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, MD - Medicine",4
"BHMS, BSc - Zoology",3
"MD - Homeopathy",4
"BAMS",3
"BDS, MDS - Periodontics, MDS - Implantology",4
"MBBS, MD - General Medicine",4
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"BDS, MDS - Oral Medicine and Radiology",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BAMS",3
"MD - Homeopathy, BHMS",4
"BAMS, MD - Ayurveda Medicine",4
"BDS, MDS",4
"MBBS",3
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology, MRCP (UK)",4
"MBBS, MD - Medicine",4
"BDS, MDS",4
"MBBS, MD - Obstetrics & Gynaecology, DGO",4
"MBBS, DNB - Dermatology & Venereology",3
"MBBS",3
"BAMS, MD - Ayurveda Medicine",4
"MBBS, MD - Internal Medicine",4
"BHMS",3
"MBBS, DDVL, MD-DVL",4
"Diploma in Diet and Nutrition, BHMS, Diploma in Beauty Therapy, Certificate Course In Cosmetic Dermatology & Lasers, PG Diploma In Clinical Cosmetology (PGDCC), PG Diploma in Trichology, Certificate in Botox ,Fillers , Threadlifts",4
"MBBS, DDV, FCPS - Mid. & Gynae",4
"BDS, MDS - Conservative Dentistry & Endodontics, Post-Graduate Certificate in Oral Implantology (PGCOI)",4
"BHMS",3
"BDS, MDS - Orthodontics",4
"BDS",3
"MD - Skin & VD, DNB - Dermatology & Venereology, DDV, MBBS",4
"MBBS, MD - Acupuncture",4
"MBBS, MD - General Medicine",4
"BDS",3
"BHMS",3
"DHMS (Diploma in Homeopathic Medicine and Surgery)",1
"MBBS, MS - ENT",4
"BHMS",3
"BDS",3
"MBBS, FRCP",3
"BAMS, Certificate in Child Health (CCH), CGO, CSD, CVD",3
"BHMS",3
"Fellowship in Aesthetic Medicine, MBBS, DDVL",3
"MBBS, DNB - Dermatology & Venereology, Fellowship in Dermatological Laser Surgery, Fellowship in Dermatological Laser Surgery",3
"MD - Homeopathy",4
"MBBS, MD - General Medicine",4
"BHMS",3
"BDS",3
"BAMS",3
"BHMS",3
"MBBS",3
"MBBS, DNB - Internal Medicine, Fellowship in Diabetology, Post Graduate Diploma in Diabetology (PGDD), Advanced Certification in Clinical Diabetology, CCMTD",4
"MBBS, DDV",3
"BAMS",3
"BDS",3
"BAMS",3
"MBA - Hospital Management, BDS",4
"BAMS, MD - Ayurveda Medicine",4
"BDS, MDS, MDS - Orthodontics",4
"BAMS",3
"MBBS, M.D. (Psychiatry)",4
"BAMS",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BAMS",3
"BDS, MDS",4
"MBBS",3
"MBBS, DDV, DDVL",3
"BDS",3
"BAMS",3
"MBBS, MD - Diabetology",4
"MBBS, DDV",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BAMS, MBA",4
"BAMS",3
"MBBS",3
"MBBS",3
"MBBS, MD - Internal Medicine",4
"MBBS, MD - Dermatology, SCE Dermatology (RCP,UK)",4
"MBBS, MNAMS - General Surgery",4
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",4
"BAMS",3
"MDS, BDS",4
"BDS, Post Graduate Diploma in Orthodontics",4
"MBBS, DNB - ENT",3
"BDS, MDS - Prosthodontics, Fellowship in Implantology",4
"MBBS, DDVL",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"MBBS, DNB - ENT",3
"MD - Internal Medicine, MBBS, Certificate Course in Management of Thyroid Disorder, CCD (Diabetology)",4
"BHMS",3
"MDS - Paedodontics And Preventive Dentistry",4
"BDS",3
"MBBS, MRCS (UK), MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",4
"BAMS",3
"MBBS, MD - General Medicine, DM - Gastroenterology",4
"BDS, MDS - Prosthodontics",4
"BDS",3
"MDS - Oral & Maxillofacial Surgery, BDS",4
"BDS",3
"BAMS",3
"MBBS, MD - General Medicine",4
"MBBS, MS - ENT",4
"MS - ENT, FCPS - General Surgery, Diploma in Otorhinolaryngology (DLO), MBBS",4
"BHMS",3
"BHMS, Certificate Course in Advanced Homoeopathy (C.C.A.H)",3
"MBBS, MD - Skin & VD, DNB - Dermatology & Venereology, Fellow of Academy of General Education (FAGE)",4
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",4
"BDS, MDS - Periodontology and Oral Implantology, FICOI",4
"MBBS, Diploma in Dermatology, MD - Microbiology",4
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",4
"BHMS",3
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",4
"MBBS",3
"BDS, MDS - Periodontology and Oral Implantology",4
"MD - General Medicine",4
"MBBS",3
"BHMS",3
"BAMS",3
"MBBS",3
"BAMS",3
"BHMS",3
"MBBS, MD - Rheumatology, DM - Rheumatology",4
"MBBS, Diploma in Acupuncture",3
"BDS, MDS - Conservative Dentistry & Endodontics",4
"BDS, MDS - Pedodontics",4
"MD - Ayurveda Medicine",4
"MD - Medicine, BAMS",4
"MBBS",3
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"MBBS, MS - ENT",4
"MBBS, MS - Otorhinolaryngology",4
"BDS, MDS",4
"MD - General Medicine",4
"MBBS, Diploma in Tropical Medicine Health, MRCP (UK), MSc",4
"MBBS, Post Graduate Diploma in Maternity and Child Health (PGDMCH)",4
"MBBS, MD - General Medicine",4
"MBBS, MS - Otorhinolaryngology, DNB",4
"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",5
"BDS, MDS - Prosthodontist And Crown Bridge",4
"DNB - ENT",1
"BDS, Comprehensive Course in Modern Endodontics",3
"BAMS",3
"DHMS (Diploma in Homeopathic Medicine and Surgery)",1
"BHMS, MD - Homeopathy",4
"MBBS, MD - Dermatology, Fellowship in Dermatology",4
"BHMS, Certificate in Child Health (CCH), CGO",3
"Training in Facial Aesthetics, MS - Otorhinolaryngology",4
"BAMS, Certificate in Health Management",3
"MBBS, MS - ENT",4
"MBBS",3
"BDS, MDS - Orthodontics",4
"BAMS, Post graduate diploma in Hospital Management",4
"BDS",3
"BHMS",3
"MDS - Conservative Dentistry & Endodontics",4
"DNB - Dermatology & Venereology, Diploma in Dermatology",1
"BHMS",3
"BDS, Certificate in Dental Implants, FICOI, Certification in Aesthetic Dentistry",3
"BHMS",3
"MD - Dermatology , Venereology & Leprosy, DNB, FCPS - Dermatology, Venereology & Leprosy, DDVL",4
"MDS - Prosthodontics, BDS",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BHMS",3
"MBBS, Masters in Clinical Dermatology",4
"BDS, MDS - Prosthodontist And Crown Bridge",4
"MBBS, MD - Dermatology",4
"BDS",3
"MDS - Oral Medicine and Radiology, BDS",4
"MBBS, Fellowship of College of General Practice (FCGP)",3
"BHMS, MD - Homeopathy Psychiatry",4
"BAMS",3
"BDS",3
"MBBS, MS - ENT",4
"BAMS",3
"MBBS, MD - Dermatology",4
"BDS",3
"MBBS, MD - Internal Medicine",4
"MBBS, MD - Dermatology",4
"MBBS",3
"MBBS, MS - Otorhinolaryngology",4
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",4
"MBBS, MS - ENT",4
"MBBS, MD - General Medicine",4
"BDS, PGCAD, Fellow of Academy of General Education (FAGE)",4
"MBBS, MD - General Medicine, DM - Gastroenterology",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, MD - Dermatology",4
"MBBS, MS - General Surgery, MNAMS - General Surgery",4
"MD - Ayurveda Medicine, BAMS",4
"BDS, MDS - Pedodontics",4
"MBBS, DGO",3
"BAMS, D.Y.A",3
"BDS, MDS - Orthodontics",4
"BHMS",3
"MBBS, MRCPS, MRCP (Paed)",4
"BDS, MDS - Prosthodontist And Crown Bridge",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"BAMS",3
"MBBS, DDV",3
"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology, Diplomate American Academy of Aesthetic Medicne",4
"BAMS",3
"MBBS, MD - Dermatology , Venereology & Leprosy, FRGUHS",4
"BHMS",3
"BDS, MDS - Oral Medicine and Radiology, FICOI",4
"MS - Ayurveda, BAMS",4
"BHMS, MD - Homeopathy",4
"MBBS",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BAMS",3
"MBBS, DDV",3
"BAMS",3
"MBBS, MS - ENT, DNB - ENT",4
"MBBS, MS - Urology, MCh - Urology/Genito-Urinary Surgery, DNB",4
"MBBS, Diploma in Child Health (DCH), MD - Pediatrics, DM - Gastroenterology",4
"BDS",3
"MBBS, DDV",3
"MBBS, MS - ENT",4
"MBBS, M.D. (Psychiatry)",4
"BDS, MDS",4
"BDS",3
"BAMS, PG Diploma In Emergency Trauma Care, MD - Internal Medicine, MS - Counselling and Psychotherapy",4
"BHMS, FCAH (Fellow ship course in Advance Homoepath)",3
"BAMS",3
"MDS - Oral & Maxillofacial Surgery",4
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)(Middlesex University, UK)",4
"MBBS, Diploma in Practical Dermatology, Diploma in Dermatology, Diploma in Aesthetic Medicine",3
"BAMS, BAMS, MD - Ayurveda Medicine, Fellow of Academy of General Education (FAGE)",4
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT, DNB - ENT",4
"BDS, MDS - Periodontics",4
"BDS",3
"BAMS, MBBS, MD - Ayurveda Medicine",4
"BDS, Post-Graduate Certificate in Oral Implantology (PGCOI)",4
"MBBS, MD - Dermatology, DVD",4
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology",4
"BHMS",3
"BDS, PG Diploma In Clinical Cosmetology (PGDCC)",4
"MD - Dermatology, Diploma in Dermatology",4
"MBBS, MD - Internal Medicine",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"BAMS",3
"MD - Dermatology, MBBS",4
"MBBS, MS - ENT",4
"BDS",3
"MBBS, MS - ENT",4
"MBBS, DDV",3
"BHMS",3
"MBBS",3
"BHMS",3
"MBBS",3
"BHMS",3
"MBBS, MD - General Medicine, MD - Internal Medicine",4
"Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology, MBBS",3
"BDS",3
"BHMS, DNHE",3
"BHMS, MD - Homeopathy, Fellowship in Orthopaedic Rehabilitation (FOR)",4
"MBBS, DLO, MS - ENT",4
"BDS, Fellow of Academy of General Education (FAGE), MIDA, MDS - Periodontics, Certificate Course in Dental Lasers, Certificate Course in Implantology",4
"BHMS",3
"MD - Dermatology , Venereology & Leprosy",4
"BDS",3
"BDS",3
"BDS",3
"MBBS, MD - Internal Medicine, DM - Endocrinology",4
"BDS",3
"MBBS, DVD, MD - Dermatology",4
"BHMS",3
"BHMS, PGCR",4
"MBBS, MS - Otorhinolaryngology",4
"MBBS, MS - ENT",4
"DNB, MBBS",3
"MBBS",3
"BHMS",3
"MDS - Pedodontics, BDS",4
"MBBS",3
"MBBS, DNB - Dermatology & Venereology, DDV, DVD",3
"MBBS, DDV, FRGUHS",3
"MBBS",3
"MBBS, MD - Dermatology",4
"MBBS, MD - General Medicine, Diploma in Diabetes/Endocrinology (Middlesex University)",4
"BDS, MDS",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MS - ENT, MBBS",4
"MBBS, DDV",3
"MBBS, MD - General Medicine",4
"BDS",3
"MS - ENT, MBBS",4
"MDS - Periodontics, BDS",4
"BHMS",3
"MBBS, MD - Paediatrics",4
"BDS",3
"BAMS",3
"MBBS, MS - ENT",4
"MBBS",3
"BAMS, MS - Ayurveda",4
"BHMS",3
"BDS, MDS - Conservative Dentistry & Endodontics",4
"MBBS",3
"MBBS, DDV, MD - Dermatology",4
"MBBS, DGO",3
"MBBS, MD - Dermatology , Venereology & Leprosy, PG Diploma In Clinical Cosmetology (PGDCC)",4
"BDS",3
"MBBS, MD - Skin & VD",4
"MBBS, MS - ENT",4
"BHMS",3
"MBBS, Diploma in Child Health (DCH)",3
"MBBS, DGO",3
"BDS, MDS - Periodontology and Oral Implantology",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, MS - ENT",4
"BAMS",3
"MBBS",3
"BDS",3
"MBBS, MD - (Dermatology & STD), DNB - Dermatology & Venereology",4
"MBBS",3
"MBBS, DNB - Dermatology & Venereology",3
"MBBS, MS - ENT, DNB - ENT, FCPS - General Surgery, DORL (ENT)",4
"MBBS, DNB",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS",3
"MBBS, Diploma in Clinical Pathology",3
"BHMS, MD - Homeopathy",4
"BAMS, PG Diploma in Preventive and Promotive Health Care (PGD PPHC)",4
"MBBS, DNB - General Medicine",3
"MBBS, MD - General Medicine",4
"BHMS, MS - Psychology",4
"BDS, MDS - Prosthodontics, MSc - Master of Oral Implantology (MOI)",4
"BAMS",3
"MBBS, Fellowship in Aesthetic Medicine, Fellowship in Medical Cosmetology (FMC), DDVL, FRGUHS",3
"BDS, Certified Advance Course In Endodontics",3
"BDS, MDS - Prosthodontics",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"MBBS, DVD",3
"MD - Homeopathy, BHMS",4
"MBBS, MS - ENT",4
"BHMS",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BAMS",3
"BAMS, Certificate in Child Health (CCH), Post Graduate Diploma in Clinical Research (PGDCR)",4
"BAMS, MD - Alternate Medicine, MS - Ayurveda",4
"BHMS",3
"BDS",3
"BAMS",3
"MBBS, MS - ENT",4
"MBBS, MD - General Medicine",4
"BHMS",3
"BHMS",3
"BAMS",3
"BAMS",3
"MBBS, DDVL",3
"BAMS",3
"BHMS",3
"BDS, PGDHHM",4
"BDS, Diploma in Health Administration",3
"BHMS",3
"BDS, MDS",4
"MBBS, Fellowship in Diabetology",3
"MBBS, Diploma in Child Health (DCH)",3
"MBBS, MS - Otorhinolaryngology",4
"BHMS",3
"MBBS, MD - General Medicine",4
"MBBS, DDVL",3
"BDS",3
"MBBS, MD - Pediatrics, DNB - Pediatrics",4
"BAMS",3
"BHMS",3
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MDS - Oral & Maxillofacial Surgery, BDS",4
"MBBS",3
"MBBS, MD - Dermatology",4
"BDS, MDS - Prosthodontist And Crown Bridge",4
"MBBS, MD - Dermatology",4
"BDS, MBA - Hospital Management, MDS - Oral Medicine and Radiology",4
"BDS, MDS - Endodontics",4
"BAMS, MD - Ayurveda Medicine",4
"MBBS, MD - Dermatology",4
"BHMS",3
"MBBS, MD - Medicine",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MBBS, MCh - Neuro Surgery",4
"BAMS",3
"MBBS, MD - General Medicine",4
"BDS, MDS - Oral & Maxillofacial Surgery, Fellowship in Cosmetic Surgery",4
"BDS",3
"BDS",3
"MBBS, MS - ENT",4
"MBBS, DM - Cardiology",3
"BDS, MDS - Pedodontics",4
"MBBS, MD - Dermatology",4
"BDS, Certificate in Dental Implants",3
"MBBS, DNB - Ophthalmology, Fellowship in Vitreo-Retina",3
"MBBS, MS - ENT",4
"MS - Orthopaedics, MBBS",4
"BDS",3
"MBBS, DDVL, DVD",3
"BAMS",3
"MBBS, MD - General Medicine",4
"MS - ENT, MBBS",4
"MBBS, MD - General Medicine, DDV",4
"MDS, BDS",4
"BAMS",3
"BAMS, Certified Course in Yoga",3
"BAMS",3
"DNB - Otorhinolaryngology, MNAMS (Membership of the National Academy), MBBS",4
"Diploma in Otorhinolaryngology (DLO), MBBS",3
"MBBS, MD - Dermatology",4
"BDS, MDS - Prosthodontics",4
"BDS",3
"BHMS",3
"MBBS, DDVL, Diploma in Dermatology",3
"MBBS, MS - Otorhinolaryngology, DLO",4
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",3
"MD - Homeopathy, Post Graduate Diploma in Medicological Systems (PGDMS), DHMS (Diploma in Homeopathic Medicine and Surgery)",4
"MBBS, Fellow of the Royal Australasian College of Surgeons, FRACS (General Surgery)",3
"BAMS, MS - Ayurveda, PhD- Ayurveda, Fellowship in Ayurvedic Medicine",5
"MBBS, MD - Dermatology",4
"MD - Homeopathy, BHMS",4
"MBBS, MS - ENT",4
"MBBS",3
"MS - ENT, DNB - ENT, Diploma in Otorhinolaryngology (DLO), MBBS",4
"BHMS, MD - Homeopathy",4
"BAMS, MS - Ayurveda",4
"MD - Dermatology",4
"BHMS",3
"BAMS",3
"MBBS, Diploma in Child Health (DCH)",3
"BDS",3
"BHMS",3
"MD - Ayurveda Medicine, BAMS",4
"MBBS, MD - Internal Medicine, DM - Oncology",4
"BDS, MDS-Oral Pathology and Oral Microbiology",4
"MBBS, DDVL",3
"MD - Dermatology",4
"MBBS, MD - Medicine",4
"MBBS, DDVL",3
"BHMS",3
"MD - Homeopathy",4
"G.A.M.S",0
"MDS - Oral Medicine and Radiology",4
"MBBS, MS - ENT",4
"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), MD - Medicine",4
"BDS, MDS - Prosthodontics",4
"MBBS, MD - Medicine",4
"MD - Homeopathy, DHMS",4
"BDS, MDS",4
"BDS, MDS - Periodontics, PG Diploma In Clinical Cosmetology (PGDCC), Post-Graduate Certificate in Oral Implantology (PGCOI)",4
"BDS",3
"MBBS, MD - General Medicine",4
"BAMS",3
"BHMS",3
"MBBS, MD - Dermatology , Venereology & Leprosy, Diploma in Dermatology & Venerology",4
"BDS, MDS",4
"BDS, MDS - Endodontics",4
"MBBS, Masters in Clinical Dermatology",4
"MBBS, MD - General Medicine, Fellowship in Endocrinology, Diabetes & Metabolism, Fellow of American College of Endocrinology(FACE)",4
"MBBS",3
"DHMS (Diploma in Homeopathic Medicine and Surgery), MD - Homeopathy",4
"MBBS, MD - Dermatology",4
"MBBS, MD - Internal Medicine",4
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",4
"PG Diploma in Child Health, MBBS",4
"BHMS",3
"POST GRADUATE IN HOMOEOPATHY, BHMS",4
"MBBS, MD - Dermatology",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"BDS, Fellowship in Oral implantlogy",3
"MBBS",3
"Fellowship in Oral implantlogy, Certified Advance Course In Endodontics, Certified in Orthodontics, Certification in Full Mouth Rehabilitation, Certified BPS Dentist, Certificate in Cosmetic Dentistry, Professional Implantology Training Course (PITC), Fellowship in Advanced Endoscopic Sinus Surgery, Degree in Dental Implant, Fellowship in Lasers & Cosmetology",4
"BAMS",3
"BAMS",3
"BDS, MDS",4
"BHMS",3
"MBBS, DDVL",3
"BHMS, MSc - Psychotherapy And Counselling, MD - Homeopathy",4
"MBBS, MD - Dermatology, Fellowship In Dermatosurgery",4
"MBBS",3
"B.Sc, MBBS",3
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",4
"MBBS, BAMS",3
"MBBS, MD - Internal Medicine, DM - Gastroenterology",4
"BDS",3
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",4
"MBBS",3
"MBBS",3
"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS, MD - General Medicine",4
"BHMS",3
"MBBS, MD - Dermatology",4
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology, Diploma in Dermatology, Diploma in Aesthetic Medicine",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"BDS",3
"MBBS, MD - General Medicine",4
"BDS, Advanced Endotontic Course On Root Canal",3
"MBBS",3
"MBBS, MD - General Medicine",4
"MDS - Conservative Dentistry & Endodontics, BDS",4
"MBBS, DVD",3
"BDS",3
"BHMS",3
"BDS, MDS",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, MD - Obstetrics & Gynaecology, Fellowship of College of General Practice (FCGP)",4
"MBBS, MS - ENT",4
"BHMS, Master In Counselling Psychology",4
"MBBS, DNB - ENT, Diploma in Otorhinolaryngology (DLO)",3
"MBBS, DDV, FRGUHS",3
"BDS",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, Diploma in Dermatology & Venerology, MD - Dermatology , Venereology & Leprosy",4
"Get inspired by remarkable stories of people like you",0
"BDS",3
"MBBS, DNB - General Medicine, Diploma in Diabetology (Mumbai University)",3
"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",3
"BHMS",3
"BHMS",3
"Post Graduate Diploma in Diabetology (PGDD), MD - Diabetology",4
"BHMS",3
"BHMS",3
"BDS",3
"BHMS",3
"MS - ENT, MBBS",4
"BAMS, MD - Ayurveda Medicine",4
"MBBS, MD - Dermatology, FRGUHS",4
"BAMS",3
"MBBS, DDVL",3
"BAMS",3
"BDS, MDS - Orthodontics, D.Sc",4
"BHMS, MD - Homeopathy",4
"BDS, MDS - Prosthodontics, Fellowship in Oral implantlogy",4
"MBBS, MD - General Medicine",4
"BHMS",3
"MBBS, Fellowship in Diabetology, Certification Course In Diabetes, Fellowship in Clinical Cardiology, PG in Diabetology",4
"MBBS, DNB - Otorhinolaryngology",3
"BDS, MDS - Periodontology and Oral Implantology",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"BHMS",3
"DDVL, MBBS",3
"BDS, Post Graduate Certificate in Advanced Oral Implantology",4
"BAMS, MS - Ayurveda, Ph.D Panchakarma",4
"MBBS, DDVL",3
"MBBS, MD - Internal Medicine",4
"MBBS, DLO, DNB - ENT",3
"M.Ch, MBBS, MS - General Surgery",4
"MBBS, MD - General Medicine",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, Diploma in Dermatology",3
"BAMS",3
"MBBS, MS - ENT",4
"LCEH",0
"MBBS, MS - Otorhinolaryngology, DNB - Otorhinolaryngology, FICS, FRCS",4
"BHMS",3
"BHMS, MD - Homeopathy",4
