"Qualification","Experience","Place","Profile","Fees","Qual","nyear","nplace","nprof","city","targetdata_Ayurveda","targetdata_Dentist","targetdata_Dermatologists","targetdata_ENT Specialist","targetdata_General Medicine","targetdata_Homeopath","targetdata_ Bangalore","targetdata_ Chennai","targetdata_ Coimbatore","targetdata_ Delhi","targetdata_ Ernakulam","targetdata_ Hyderabad","targetdata_ Mumbai","targetdata_ Sector 5","targetdata_ Thiruvananthapuram","targetdata_unknown"
"MBBS, MD - General Medicine","20 years experience","Malakpet, Hyderabad","General Medicine",550,2,20,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MS - ENT","33 years experience","Vileparle East, Mumbai","ENT Specialist",800,2,33,7,4," Mumbai",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"MS - ENT, FCPS - General Surgery, Diploma in Otorhinolaryngology (DLO), MBBS","37 years experience","Vileparle West, Mumbai","ENT Specialist",100,4,37,7,4," Mumbai",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"BHMS","7 years experience","Rohini, Delhi","Homeopath",300,1,7,4,6," Delhi",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"BHMS, Certificate Course in Advanced Homoeopathy (C.C.A.H)","10 years experience","Yelahanka, Bangalore","Homeopath",300,2,10,1,6," Bangalore",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"MBBS, MD - Skin & VD, DNB - Dermatology & Venereology, Fellow of Academy of General Education (FAGE)","19 years experience","Bandra West, Mumbai","Dermatologists",100,4,19,7,3," Mumbai",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics","6 years experience","Bellandur, Bangalore","Dentist",100,2,6,1,2," Bangalore",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BDS, MDS - Periodontology and Oral Implantology, FICOI","21 years experience","Kalyan Nagar, Bangalore","Dentist",100,3,21,1,2," Bangalore",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, Diploma in Dermatology, MD - Microbiology","25 years experience","Mogappair East, Chennai","Dermatologists",200,3,25,2,3," Chennai",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT","29 years experience","KK Nagar, Chennai","ENT Specialist",400,3,29,2,4," Chennai",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"BHMS","5 years experience","Sarjapur Road, Bangalore","Homeopath",100,1,5,1,6," Bangalore",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics","11 years experience","Rajakilpakkam, Chennai","Dentist",200,2,11,2,2," Chennai",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MBBS","37 years experience","Choolaimedu, Chennai","General Medicine",100,1,37,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"BDS, MDS - Periodontology and Oral Implantology","13 years experience","Goregaon East, Mumbai","Dentist",100,2,13,7,2," Mumbai",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MD - General Medicine","9 years experience","Andheri West, Mumbai","General Medicine",100,1,9,7,5," Mumbai",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"MBBS","18 years experience","Viveknagar, Bangalore","General Medicine",300,1,18,1,5," Bangalore",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"BHMS","17 years experience","Ambattur, Chennai","Homeopath",200,1,17,2,6," Chennai",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"BAMS","7 years experience","Kadavanthra, Ernakulam","Ayurveda",300,1,7,5,1," Ernakulam",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MBBS","42 years experience","Pitampura, Delhi","General Medicine",300,1,42,4,5," Delhi",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"BAMS","43 years experience","Wadala, Mumbai","Ayurveda",100,1,43,7,1," Mumbai",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BHMS","27 years experience","Kandivali West, Mumbai","Homeopath",350,1,27,7,6," Mumbai",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"MBBS, MD - Rheumatology, DM - Rheumatology","20 years experience","Manapakkam, Chennai","General Medicine",600,3,20,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"MBBS, Diploma in Acupuncture","33 years experience","Vikas Puri, Delhi","General Medicine",100,2,33,4,5," Delhi",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"BDS, MDS - Conservative Dentistry & Endodontics","8 years experience","Saket, Delhi","Dentist",500,2,8,4,2," Delhi",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BDS, MDS - Pedodontics","11 years experience","Miyapur, Hyderabad","Dentist",300,2,11,6,2," Hyderabad",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MD - Ayurveda Medicine","3 years experience","Mogappair East, Chennai","Ayurveda",200,1,3,2,1," Chennai",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MD - Medicine, BAMS","31 years experience","Kandivali West, Mumbai","General Medicine",100,2,31,7,5," Mumbai",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"MBBS","4 years experience","Ghatkopar East, Mumbai","General Medicine",300,1,4,7,5," Mumbai",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"BDS, MDS - Paedodontics And Preventive Dentistry","10 years experience","R.S. Puram, Coimbatore","Dentist",300,2,10,3,2," Coimbatore",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"MBBS, MS - ENT","35 years experience","Secunderabad, Hyderabad","ENT Specialist",500,2,35,6,4," Hyderabad",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MS - Otorhinolaryngology","7 years experience","Habsiguda, Hyderabad","ENT Specialist",300,2,7,6,4," Hyderabad",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS","20 years experience","Thammanam, Ernakulam","Dentist",200,2,20,5,2," Ernakulam",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MD - General Medicine","26 years experience","Borivali East, Mumbai","General Medicine",100,1,26,7,5," Mumbai",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"MBBS, Diploma in Tropical Medicine Health, MRCP (UK), MSc","39 years experience","Mehdipatnam, Hyderabad","General Medicine",300,4,39,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"MBBS, Post Graduate Diploma in Maternity and Child Health (PGDMCH)","25 years experience","Powai, Mumbai","General Medicine",300,2,25,7,5," Mumbai",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MD - General Medicine","16 years experience","Attapur, Hyderabad","General Medicine",300,2,16,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MS - Otorhinolaryngology, DNB","28 years experience","Dwarka, Delhi","ENT Specialist",400,3,28,4,4," Delhi",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"BDS, PhD - Orthodontics & Dentofacial Orthopaedics","23 years experience","Nanganallur, Chennai","Dentist",100,2,23,2,2," Chennai",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BDS, MDS - Prosthodontist And Crown Bridge","11 years experience","Andheri West, Mumbai","Dentist",300,2,11,7,2," Mumbai",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"DNB - ENT","4 years experience","Andheri West, Mumbai","ENT Specialist",800,1,4,7,4," Mumbai",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"BDS, Comprehensive Course in Modern Endodontics","19 years experience","Vikas Puri, Delhi","Dentist",300,2,19,4,2," Delhi",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BAMS","3 years experience","Perurkada, Thiruvananthapuram","Ayurveda",200,1,3,8,1," Thiruvananthapuram",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DHMS (Diploma in Homeopathic Medicine and Surgery)","30 years experience","Ashok Vihar Phase 3, Delhi","Homeopath",250,1,30,4,6," Delhi",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"BHMS, MD - Homeopathy","12 years experience","Anna Nagar, Chennai","Homeopath",300,2,12,2,6," Chennai",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"MBBS, MD - Dermatology, Fellowship in Dermatology","7 years experience","Andheri West, Mumbai","Dermatologists",700,3,7,7,3," Mumbai",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"BHMS, Certificate in Child Health (CCH), CGO","8 years experience","Bhandup East, Mumbai","Homeopath",70,3,8,7,6," Mumbai",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Training in Facial Aesthetics, MS - Otorhinolaryngology","3 years experience","Nungambakkam, Chennai","ENT Specialist",300,2,3,2,4," Chennai",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"BAMS, Certificate in Health Management","9 years experience","Janak Puri, Delhi","Ayurveda",200,2,9,4,1," Delhi",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, MS - ENT","21 years experience","Dilshad Garden, Delhi","ENT Specialist",500,2,21,4,4," Delhi",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS","41 years experience","Santacruz East, Mumbai","General Medicine",200,1,41,7,5," Mumbai",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"BDS, MDS - Orthodontics","17 years experience","Madinaguda, Hyderabad","Dentist",200,2,17,6,2," Hyderabad",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BAMS, Post graduate diploma in Hospital Management","21 years experience","Thiruvallom, Thiruvananthapuram","Ayurveda",100,2,21,8,1," Thiruvananthapuram",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BDS","9 years experience","Thoraipakkam, Chennai","Dentist",200,1,9,2,2," Chennai",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BHMS","29 years experience","Mayur Vihar Ph-II, Delhi","Homeopath",500,1,29,4,6," Delhi",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"MDS - Conservative Dentistry & Endodontics","13 years experience","Ramanathapuram, Coimbatore","Dentist",100,1,13,3,2," Coimbatore",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"DNB - Dermatology & Venereology, Diploma in Dermatology","9 years experience","Paschim Vihar, Delhi","Dermatologists",700,2,9,4,3," Delhi",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"BHMS","11 years experience","Sakinaka, Mumbai","Homeopath",50,1,11,7,6," Mumbai",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"BDS, Certificate in Dental Implants, FICOI, Certification in Aesthetic Dentistry","8 years experience","Andheri West, Mumbai","Dentist",300,4,8,7,2," Mumbai",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BHMS","0 years experience","Nallakunta, Hyderabad","Homeopath",500,1,0,6,6," Hyderabad",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"MD - Dermatology , Venereology & Leprosy, DNB, FCPS - Dermatology, Venereology & Leprosy, DDVL","7 years experience","Walkeshwar, Mumbai","Dermatologists",100,6,7,7,3," Mumbai",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"MDS - Prosthodontics, BDS","16 years experience","Santosh Nagar, Hyderabad","Dentist",100,2,16,6,2," Hyderabad",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MD - Dermatology , Venereology & Leprosy","5 years experience","Banjara Hills, Hyderabad","Dermatologists",500,3,5,6,3," Hyderabad",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"BHMS","20 years experience","Pitampura, Delhi","Homeopath",300,1,20,4,6," Delhi",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"MBBS, Masters in Clinical Dermatology","25 years experience","Defence Colony, Delhi","Dermatologists",400,2,25,4,3," Delhi",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"BDS, MDS - Prosthodontist And Crown Bridge","9 years experience","Kadavanthra, Ernakulam","Dentist",250,2,9,5,2," Ernakulam",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MBBS, MD - Dermatology","39 years experience","Lower Parel, Mumbai","Dermatologists",100,2,39,7,3," Mumbai",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"BDS","23 years experience","Indiranagar, Bangalore","Dentist",400,1,23,1,2," Bangalore",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MDS - Oral Medicine and Radiology, BDS","17 years experience","Perumbakkam, Chennai","Dentist",100,2,17,2,2," Chennai",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MBBS, Fellowship of College of General Practice (FCGP)","39 years experience","Tagore Garden, Delhi","General Medicine",300,2,39,4,5," Delhi",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"BHMS, MD - Homeopathy Psychiatry","12 years experience","Andheri West, Mumbai","Homeopath",100,2,12,7,6," Mumbai",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"BAMS","11 years experience","Royapettah, Chennai","Ayurveda",300,1,11,2,1," Chennai",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BDS","11 years experience","Oshiwara, Mumbai","Dentist",500,1,11,7,2," Mumbai",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MS - ENT","13 years experience","Kukatpally, Hyderabad","ENT Specialist",300,2,13,6,4," Hyderabad",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"BAMS","43 years experience","Mahim, Mumbai","Ayurveda",100,1,43,7,1," Mumbai",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MD - Dermatology","0 years experience","Malleswaram, Bangalore","Dermatologists",400,2,0,1,3," Bangalore",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"BDS","20 years experience","Bannerghatta Road, Bangalore","Dentist",200,1,20,1,2," Bangalore",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MD - Internal Medicine","16 years experience","Sahakaranagar, Bangalore","General Medicine",250,2,16,1,5," Bangalore",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MD - Dermatology","18 years experience","KPHB, Hyderabad","Dermatologists",400,2,18,6,3," Hyderabad",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS","14 years experience","Indiranagar, Bangalore","General Medicine",650,1,14,1,5," Bangalore",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MS - Otorhinolaryngology","31 years experience","Saidabad, Hyderabad","ENT Specialist",200,2,31,6,4," Hyderabad",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT","32 years experience","Alwarthirunagar, Chennai","ENT Specialist",400,3,32,2,4," Chennai",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"MBBS, MS - ENT","12 years experience","Koramangala 6 Block, Bangalore","ENT Specialist",300,2,12,1,4," Bangalore",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MD - General Medicine","24 years experience","Valasaravakkam, Chennai","General Medicine",100,2,24,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"BDS, PGCAD, Fellow of Academy of General Education (FAGE)","10 years experience","Ghatkopar East, Mumbai","Dentist",300,3,10,7,2," Mumbai",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MD - General Medicine, DM - Gastroenterology","15 years experience","Perambur, Chennai","General Medicine",200,3,15,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"MBBS, MD - Dermatology , Venereology & Leprosy","19 years experience","Vasant Kunj, Delhi","Dermatologists",100,3,19,4,3," Delhi",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, MD - Dermatology","15 years experience","Koramangala, Bangalore","Dermatologists",500,2,15,1,3," Bangalore",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MS - General Surgery, MNAMS - General Surgery","40 years experience","R.S. Puram, Coimbatore","General Medicine",150,3,40,3,5," Coimbatore",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"MD - Ayurveda Medicine, BAMS","9 years experience","Balapur, Hyderabad","Ayurveda",200,2,9,6,1," Hyderabad",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS - Pedodontics","7 years experience","Mylapore, Chennai","Dentist",500,2,7,2,2," Chennai",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MBBS, DGO","44 years experience","Thiruvanmiyur, Chennai","General Medicine",300,2,44,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"BAMS, D.Y.A","9 years experience","Borivali West, Mumbai","Ayurveda",100,2,9,7,1," Mumbai",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BDS, MDS - Orthodontics","24 years experience","Mylapore, Chennai","Dentist",200,2,24,2,2," Chennai",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BHMS","3 years experience","New Ashok Nagar, Delhi","Homeopath",300,1,3,4,6," Delhi",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"MBBS, MRCPS, MRCP (Paed)","30 years experience","Alwarpet, Chennai","General Medicine",500,3,30,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"BDS, MDS - Prosthodontist And Crown Bridge","9 years experience","Laxmi Nagar, Delhi","Dentist",300,2,9,4,2," Delhi",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MD - Dermatology , Venereology & Leprosy, MBBS","2 years experience","Adyar, Chennai","Dermatologists",500,3,2,2,3," Chennai",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BAMS","24 years experience","Green Park, Delhi","Ayurveda",750,1,24,4,1," Delhi",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, DDV","3 years experience","Peddar Road, Mumbai","Dermatologists",500,2,3,7,3," Mumbai",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology, Diplomate American Academy of Aesthetic Medicne","18 years experience","Dwarka, Delhi","Dermatologists",700,5,18,4,3," Delhi",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"BAMS","12 years experience","Borivali West, Mumbai","Ayurveda",200,1,12,7,1," Mumbai",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MD - Dermatology , Venereology & Leprosy, FRGUHS","9 years experience","Sahakaranagar, Bangalore","Dermatologists",400,4,9,1,3," Bangalore",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"BHMS","10 years experience","Aya Nagar, Delhi","Homeopath",130,1,10,4,6," Delhi",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"BDS, MDS - Oral Medicine and Radiology, FICOI","32 years experience","Adyar, Chennai","Dentist",400,3,32,2,2," Chennai",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MS - Ayurveda, BAMS","2 years experience","JP Nagar, Bangalore","Ayurveda",500,2,2,1,1," Bangalore",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BHMS, MD - Homeopathy","8 years experience","Pitampura, Delhi","Homeopath",250,2,8,4,6," Delhi",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"MBBS","26 years experience","Perungudi, Chennai","General Medicine",200,1,26,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"MBBS, MD - Dermatology , Venereology & Leprosy","2 years experience","Panampilly Nagar, Ernakulam","Dermatologists",500,3,2,5,3," Ernakulam",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"BAMS","19 years experience","Lajpat Nagar, Delhi","Ayurveda",500,1,19,4,1," Delhi",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, DDV","50 years experience","Banaswadi, Bangalore","General Medicine",100,2,50,1,5," Bangalore",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"BAMS","34 years experience","Kandivali West, Mumbai","Ayurveda",100,1,34,7,1," Mumbai",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MS - ENT, DNB - ENT","28 years experience","Bellandur, Bangalore","ENT Specialist",650,3,28,1,4," Bangalore",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MS - Urology, MCh - Urology/Genito-Urinary Surgery, DNB","36 years experience","Kilpauk, Chennai","General Medicine",500,4,36,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"MBBS, Diploma in Child Health (DCH), MD - Pediatrics, DM - Gastroenterology","27 years experience","Chetpet, Chennai","General Medicine",500,4,27,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"BDS","11 years experience","Koramangala, Bangalore","Dentist",300,1,11,1,2," Bangalore",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, DDV","18 years experience","Rohini, Delhi","Dermatologists",300,2,18,4,3," Delhi",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, MS - ENT","22 years experience","Nangloi, Delhi","ENT Specialist",300,2,22,4,4," Delhi",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, M.D. (Psychiatry)","17 years experience","Vanagaram, Chennai","General Medicine",500,2,17,2,5," Chennai",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"BDS, MDS","7 years experience","Bhayandar West, Mumbai","Dentist",200,2,7,7,2," Mumbai",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BDS","4 years experience","Kadavanthra, Ernakulam","Dentist",200,1,4,5,2," Ernakulam",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BAMS, PG Diploma In Emergency Trauma Care, MD - Internal Medicine, MS - Counselling and Psychotherapy","35 years experience","Rajajinagar, Bangalore","Ayurveda",100,4,35,1,1," Bangalore",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BHMS, FCAH (Fellow ship course in Advance Homoepath)","19 years experience","Goregaon East, Mumbai","Homeopath",100,2,19,7,6," Mumbai",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"BAMS","12 years experience","Madinaguda, Hyderabad","Ayurveda",600,1,12,6,1," Hyderabad",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MDS - Oral & Maxillofacial Surgery","18 years experience","Saibaba Colony, Coimbatore","Dentist",150,1,18,3,2," Coimbatore",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)(Middlesex University, UK)","17 years experience","Tolichowki, Hyderabad","General Medicine",200,4,17,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"MBBS, Diploma in Practical Dermatology, Diploma in Dermatology, Diploma in Aesthetic Medicine","26 years experience","West Marredpally, Hyderabad","Dermatologists",500,4,26,6,3," Hyderabad",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"BAMS, BAMS, MD - Ayurveda Medicine, Fellow of Academy of General Education (FAGE)","34 years experience","Basaveshwaranagar, Bangalore","Ayurveda",200,4,34,1,1," Bangalore",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT, DNB - ENT","38 years experience","Gachibowli, Hyderabad","ENT Specialist",700,4,38,6,4," Hyderabad",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS - Periodontics","9 years experience","Laxmi Nagar, Delhi","Dentist",300,2,9,4,2," Delhi",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BDS","14 years experience","Siddhapudur, Coimbatore","Dentist",150,1,14,3,2," Coimbatore",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BAMS, MBBS, MD - Ayurveda Medicine","42 years experience","Sasthamangalam, Thiruvananthapuram","Ayurveda",100,3,42,8,1," Thiruvananthapuram",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BDS, Post-Graduate Certificate in Oral Implantology (PGCOI)","13 years experience","Ashok Vihar, Delhi","Dentist",300,2,13,4,2," Delhi",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, MD - Dermatology, DVD","30 years experience","Vileparle West, Mumbai","Dermatologists",400,3,30,7,3," Mumbai",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology","28 years experience","Dadar, Mumbai","Dermatologists",800,3,28,7,3," Mumbai",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"BHMS","14 years experience","Jayanagar 4 Block, Bangalore","Homeopath",100,1,14,1,6," Bangalore",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BDS, PG Diploma In Clinical Cosmetology (PGDCC)","11 years experience","Thoraipakkam, Chennai","Dentist",200,2,11,2,2," Chennai",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MD - Dermatology, Diploma in Dermatology","17 years experience","Kemps Corner, Mumbai","Dermatologists",100,2,17,7,3," Mumbai",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MD - Internal Medicine","22 years experience","Yakutpura, Hyderabad","General Medicine",200,2,22,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS - Conservative Dentistry & Endodontics","15 years experience","Kondapur, Hyderabad","Dentist",250,2,15,6,2," Hyderabad",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BAMS","33 years experience","JP Nagar 7 Phase, Bangalore","Ayurveda",500,1,33,1,1," Bangalore",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MD - Dermatology, MBBS","33 years experience","Mira Road, Mumbai","Dermatologists",400,2,33,7,3," Mumbai",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MS - ENT","9 years experience","Sampangiramnagar, Bangalore","ENT Specialist",200,2,9,1,4," Bangalore",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"BDS","18 years experience","Kasturi nagar, Bangalore","Dentist",200,1,18,1,2," Bangalore",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MS - ENT","18 years experience","Virugambakkam, Chennai","ENT Specialist",200,2,18,2,4," Chennai",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"MBBS, DDV","37 years experience","JP Nagar 7 Phase, Bangalore","Dermatologists",400,2,37,1,3," Bangalore",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"BHMS","20 years experience","Shalimar Bagh, Delhi","Homeopath",500,1,20,4,6," Delhi",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"MBBS","24 years experience","New BEL Road, Bangalore","General Medicine",230,1,24,1,5," Bangalore",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"BHMS","10 years experience","Borivali West, Mumbai","Homeopath",100,1,10,7,6," Mumbai",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"MBBS","15 years experience","Kundalahalli, Bangalore","General Medicine",500,1,15,1,5," Bangalore",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
